Model,Extrapolation_Method,Avg_Correct_Facts_Per_Entity,Projected_Known_Facts_Across_Wikipedia,Extrapolation_Set
gpt_image_2,naive_equal_tier,7.217331857956858,52237077.65629452,available-case
scads_flux2_dev,naive_equal_tier,6.5,47045225.5,available-case
scads_flux2_klein,naive_equal_tier,6.136363636363636,44413324.772727266,available-case
