Model,Common_Entities,RQ1_N,RQ1_Successes,RQ1_Type_Match_Rate,RQ1_Wilson_Lower,RQ1_Wilson_Upper,RQ2_N,RQ2_Successes,RQ2_Feature_Present_Rate,RQ2_Wilson_Lower,RQ2_Wilson_Upper,RQ3_N,RQ3_Total_Propositions,RQ3_Total_Hallucinations,RQ3_Avg_Hallucinations,RQ3_Avg_Propositions,RQ3_Hallucination_Rate,RQ3_Wilson_Lower,RQ3_Wilson_Upper
gpt_image_2,289,97,75,0.7731958762886598,0.6803937345246491,0.8451830115801331,97,61,0.6288659793814433,0.52953581425912,0.7183777452242677,289,2224,201,0.6955017301038062,7.695501730103806,0.09037769784172661,0.07915684783412223,0.1030112201290579
scads_flux2_dev,289,97,77,0.7938144329896907,0.7028688883296543,0.8623740272924698,97,45,0.4639175257731959,0.36794664127193955,0.5626375620727119,289,2061,199,0.6885813148788927,7.131487889273356,0.096555070354197,0.0845441169637536,0.11006722755778263
scads_flux2_klein,289,97,71,0.7319587628865979,0.6362187242783012,0.8100256827917968,97,28,0.28865979381443296,0.207901259917661,0.385520502529583,289,2154,382,1.3217993079584776,7.453287197231834,0.17734447539461468,0.16179240949190205,0.1940453869432024
