Popularity_Tier,Model,Avg_Hallucinations,Avg_Propositions,N
Famous,gpt_image_2,0.25,8.328125,64
Famous,scads_flux2_dev,0.803030303030303,7.575757575757576,66
Famous,scads_flux2_klein,1.7272727272727273,7.7727272727272725,66
Long-tail,gpt_image_2,1.7692307692307692,7.6923076923076925,65
Long-tail,scads_flux2_dev,1.0,6.9393939393939394,66
Long-tail,scads_flux2_klein,1.5606060606060606,7.515151515151516,66
Medium,gpt_image_2,0.6031746031746031,8.253968253968255,63
Medium,scads_flux2_dev,0.5606060606060606,7.348484848484849,66
Medium,scads_flux2_klein,1.3181818181818181,7.7272727272727275,66
