Popularity_Tier,Model,N_Images,Avg_Propositions,Total_Propositions,Total_Hallucinations,Avg_Hallucination_Rate,Hallucination_Rate,Hallucination_Wilson_Lower,Hallucination_Wilson_Upper
Famous,gpt_image_2,64,8.328125,533,16,0.02870276424963925,0.0300187617260788,0.018560493295841307,0.04820333424658452
Famous,scads_flux2_dev,66,7.575757575757576,500,53,0.09955507455507455,0.106,0.08195666053446116,0.13605153886789056
Famous,scads_flux2_klein,66,7.7727272727272725,513,114,0.2142977392977393,0.2222222222222222,0.1883849360461799,0.2601888629669026
Long-tail,gpt_image_2,65,7.6923076923076925,500,115,0.2338145188145188,0.23,0.1952543270217526,0.26886296698493517
Long-tail,scads_flux2_dev,66,6.9393939393939394,458,66,0.14574314574314573,0.14410480349344978,0.11489847236193274,0.1792318095355837
Long-tail,scads_flux2_klein,66,7.515151515151516,496,103,0.2246458087367178,0.20766129032258066,0.17427626291346854,0.2455399348579853
Medium,gpt_image_2,63,8.253968253968255,520,38,0.08029730410682791,0.07307692307692308,0.053701100082593656,0.0987144392712872
Medium,scads_flux2_dev,66,7.348484848484849,485,37,0.07919071669071669,0.07628865979381444,0.05585141023361717,0.1033854468587414
Medium,scads_flux2_klein,66,7.7272727272727275,510,87,0.16031363417727054,0.17058823529411765,0.1404341012106275,0.20566788819622472
