Model,Naive_Total,Weighted_Total,Relative_Overstatement,Extrapolation_Set
GPT Image 2,52237077.65629452,43547981.883556835,0.19952924100987035,common set
FLUX.2-dev,46885988.87804487,43263704.027607694,0.0837257218689762,common set
FLUX.2-klein-4B,44351928.31717414,43048911.88576794,0.030268277973292568,common set
