Popularity_Tier,Model,N_Images,Avg_Propositions,Total_Propositions,Total_Hallucinations,Avg_Hallucination_Rate,Hallucination_Rate,Hallucination_Wilson_Lower,Hallucination_Wilson_Upper
Famous,gpt_image_2,64,8.328125,533,16,0.02870276424963925,0.0300187617260788,0.018560493295841307,0.04820333424658452
Famous,scads_flux2_dev,64,7.609375,487,53,0.10266617063492063,0.10882956878850103,0.08417039042945296,0.1396117828826705
Famous,scads_flux2_klein,64,7.75,496,113,0.21925843253968252,0.22782258064516128,0.19308471344260214,0.26674416034461346
Long-tail,gpt_image_2,65,7.6923076923076925,500,115,0.2338145188145188,0.23,0.1952543270217526,0.26886296698493517
Long-tail,scads_flux2_dev,65,6.953846153846154,452,66,0.147985347985348,0.14601769911504425,0.1164466493995332,0.18155511261604407
Long-tail,scads_flux2_klein,65,7.507692307692308,488,103,0.2281018981018981,0.21106557377049182,0.1771879040583222,0.24945677178853587
Medium,gpt_image_2,63,8.253968253968255,520,38,0.08029730410682791,0.07307692307692308,0.053701100082593656,0.0987144392712872
Medium,scads_flux2_dev,63,7.301587301587301,460,37,0.08296170319979843,0.08043478260869565,0.05891641125844238,0.10890294776412035
Medium,scads_flux2_klein,63,7.698412698412699,485,77,0.1520746008841247,0.15876288659793814,0.1289366621787057,0.1939523881803472
