Model,Naive_Total_Correct_Facts,Naive_CI_Lower,Naive_CI_Upper,Population_Weighted_Total_Correct_Facts,Population_Weighted_CI_Lower,Population_Weighted_CI_Upper,Relative_Overstatement
gpt_image_2,52237077.65629452,50639951.26775464,53497956.59362697,43547981.883556835,41422941.82141833,45435735.12445479,0.19952924100987035
scads_flux2_dev,46885988.87804487,45223198.519920446,48213850.57938797,43263704.027607694,41491893.66488006,44731798.747689,0.08372572186897598
scads_flux2_klein,44351928.31717414,42275243.85826642,46169022.83194835,43048911.88576794,40970791.374752566,44879163.93128536,0.030268277973292568
